ID	sex	age
3	m	48.91495434
4	m	31.64109589
5	m	68.13139269
6	f	28.10673516
7	f	40.95605023
9	m	48.03287671
10	m	47.83550228
14	f	21.72054795
15	f	59.61643836
16	m	52.90399543
18	f	53.78082192
23	f	44.7423516
1	m	48.03287671
25	m	54.30399543
26	f	36.38618721
27	f	49.29589041
28	f	74.4902968
31	f	49.30673516
32	f	
34	m	34.1423516
35	m	58.62180365
36	m	60.23276256
39	f	72.6109589
40	f	
42	f	51.69589041
43	f	58.19440639
46	m	54.4902968
48	m	43.17260274
49	f	54.00810502
50	f	24.1260274
51	m	49.0630137
52	f	41.71769406
56	m	34.77808219
58	f	60.91221461
60	m	51.6
61	m	57.67385845
62	m	54.87111872
67	f	43.04920091
68		29.99440639
71	m	22.62191781
76	f	19.17260274
77	m	42.72328767
78	m	24.0630137
79	m	55.69851598
84	f	29.73150685
85	m	
86	m	48.86015982
90	m	57.96974886
92	f	48.38070776
93	m	46.48481735
96	m	46.58344749
99	m	52
103	f	26.93139269
104	m	57.16426941
105	m	24.14531963
109	f	28.64646119
119		20.79440639
122	m	25.31780822
123	f	23.16426941
124	f	26.59714612
125	f	37.59988584
127	m	22.52043379
128	m	29.5260274
129	f	18.43835616
130	f	31.56152968
131	f	31.51221461
132	f	57.95605023
133	m	33.10673516
135	f	26.10958904
138	f	39.07945205
139	f	24.53413242
140	m	50.64372146
141	f	30.30958904
142	f	36.16974886
145	f	27.34783105
147	f	43.1533105
148	f	23.4163242
149	f	32.96438356
155	m	39.01917808
157	f	24.76426941
168	f	40.79988584
169	f	38.26563927
171	m	22.52043379
173	f	37.50958904
174	m	27.93961187
175	f	20.96438356
179	f	29.79178082
183	f	43.16152968
184	f	34.87671233
185	f	62.58630137
186	m	62.15890411
188	m	44.7423516
189	f	60.96438356
191	f	53.32043379
192	f	36.21369863
193	m	42.59178082
195	m	55.17260274
202	f	70.33413242
203	m	49.52043379
206	m	45.24109589
207	m	52.84383562
210	m	54.44920091
212	m	54.9369863
213	m	54.98082192
259	m	59.68767123
283	m	37.87671233
287	m	74.21643836
318	f	55.67659817
328	m	24.41929224
354	f	45.24098174
361	m	45.81906393
363	f	25.43013699
367	m	62.90410959
368	m	50.92876712
369	m	56.42180365
372	m	53.76700913
373	f	41.99726027
374	m	32.82180365
375	m	37.0109589
406	m	39.91780822
407	m	39.86015982
408	m	41.59452055
409	f	51.29851598
411	m	61.80547945
412	m	48.83013699
413	m	56.35068493
415	m	46.05468037
416	m	48.60262557
418	f	33.55057078
419	f	31.43013699
422	f	46.93424658
432	m	47.96700913
434	m	70.99988584
