ID	sex	age
435	m	30.44931507
436	m	59.23835616
437	m	32.15890411
438	m	43.01369863
439	f	65.38630137
440	m	50.07123288
441	m	43.18356164
442	f	41.10958904
444	m	53.9369863
445	f	36.38618721
446	f	51.70947489
447	m	52.8053653
449	f	41.99726027
450	f	37.88755708
451	m	49.57534247
452	f	46.27385845
453	m	64.35890411
454	m	55.35342466
455	m	67.03276256
457	f	67.99440639
459	m	49.37260274
465	f	50.65479452
466	m	51.46575342
468	m	64.18618721
469	m	49.51495434
470	m	54.12317352
471	m	68.53961187
472	m	28.95068493
474	m	55.2109589
475	f	63.93150685
476	m	65.13413242
477	f	56.05479452
478	f	73.10125571
479	f	53.03002283
481	f	75.09577626
482	f	54.95057078
518	f	62.02728311
519	m	46.81369863
520	m	41.83835616
521	m	56.1890411
522	f	53.60262557
523	f	29.09863014
525	m	49.27659817
526	m	43.90399543
527	m	52.15878995
528	m	53.69863014
529	m	52.62180365
530	f	27.39440639
531	f	65.44920091
532	m	57.28767123
533	m	58.70673516
535	m	57.25479452
536	m	53.63287671
537	m	42.42739726
538	f	23.06289954
539	m	46.03002283
540	m	60.27945205
543	f	52.068379
544	m	56.67385845
545	m	64.76426941
547	m	68.96712329
548	m	64.96152968
549	f	70.68481735
550	f	51.95616438
551	f	73.35616438
555	m	18.81643836
556	f	33.41358447
557	m	50.90399543
558	m	34.22454338
562	m	45.77534247
569	m	62.65205479
572	m	35.41906393
577	m	32.54509132
579	m	54.70958904
580	m	70.04372146
584	m	47.70399543
585	m	50.77534247
586	m	55.93961187
587	f	23.67408676
588	m	59.23287671
589	m	57.00821918
590	m	48.42465753
591	f	29.82465753
592	m	47.70136986
593	m	42.79452055
594	m	51.02454338
595	m	46.35605023
596	m	44.21358447
597	f	47.73139269
598	m	61.63002283
601	f	41.44098174
603	m	52.18892694
604	f	25.50125571
605	m	50.75342466
606	m	54.26015982
613	m	51.42739726
614	m	50.70125571
615	m	67.0793379
616	m	47.23824201
618	m	65.32317352
619	m	64.81084475
622	m	35.87385845
623	m	35.87385845
